"","Geneid","log2FC_CvsOH","padj_CvsOH","GeneSymbol","biotype"
"103","ENSG00000259827",-1.14584149336935,2.93605931537326e-13,"AC026461.1","lncRNA"
"104","ENSG00000259863",-1.47386851488308,8.30784151001629e-27,"SH3RF3-AS1","lncRNA"
"105","ENSG00000259923",-3.93158873320003,0.0261554968768221,"AC026461.2","lncRNA"
"106","ENSG00000259939",-1.25877315887931,9.69339343138625e-13,"AC022167.1","lncRNA"
"107","ENSG00000260108",-1.32752717899404,1.30599492785416e-18,"AC026464.2","lncRNA"
"108","ENSG00000260328",-2.36781209479665,2.72729031230193e-06,"AC104024.2","lncRNA"
"109","ENSG00000260381",-1.36509926386602,1.48001401194265e-05,"AC007610.3","lncRNA"
"110","ENSG00000260461",-1.41223376505469,0.000337006758237723,"AL133355.1","lncRNA"
"111","ENSG00000260798",-1.15594519824729,3.45366627249981e-09,"AC099314.1","lncRNA"
"112","ENSG00000260910",-1.94053532350042,9.14426347872155e-15,"LINC00565","lncRNA"
"113","ENSG00000260942",-1.09911529955289,1.00793447171868e-05,"CAPN10-DT","lncRNA"
"114","ENSG00000260944",-1.20277589358186,0.000520953802810332,"FOXC2-AS1","lncRNA"
"115","ENSG00000260999",-1.10674745039903,0.000160665958822881,"AC009137.1","lncRNA"
"116","ENSG00000261051",-1.59190522250213,2.74857413267035e-11,"AC107021.2","lncRNA"
"117","ENSG00000261113",-2.25884715285108,1.47560358660362e-13,"AC009034.1","lncRNA"
"118","ENSG00000261136",-1.39987503006964,3.52180789171615e-05,"AC023908.3","lncRNA"
"119","ENSG00000261167",-1.24548546611095,1.5939160918501e-10,"AC107027.3","lncRNA"
"120","ENSG00000261220",-1.36740040634447,0.0444918101348895,"AC103706.1","lncRNA"
"121","ENSG00000261335",-1.57169642737115,2.41345431447662e-06,"AC005837.1","lncRNA"
"122","ENSG00000261373",-1.42766177734093,3.36987144167738e-19,"VPS9D1-AS1","lncRNA"
"123","ENSG00000261396",-1.07302372464035,3.55390951924571e-06,"AC027682.5","lncRNA"
"124","ENSG00000261416",-1.81265811566726,1.2586504275136e-05,"AC012645.3","lncRNA"
"125","ENSG00000261468",-2.60201911484134,3.32386651218367e-25,"AC096921.2","lncRNA"
"126","ENSG00000261532",-1.08008610223914,7.27190238398184e-16,"AC009065.8","lncRNA"
