"","mRNA_id","mRNA_log2FC_O3","mRNA_padj_O3","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_O3","lncRNA_padj_O3","lncRNA_GeneSymbol"
"156","ENSG00000157870",-1.26360179253501,8.21729888690455e-29,"FAM213B","ENSG00000228037",8.34896795863234,1.62810869376061e-11,"AL139246.3"
"157","ENSG00000158428",3.37028930646538,9.4508344830015e-15,"C2orf62","ENSG00000225062",1.86176061251455,4.77664924750795e-05,"CATIP-AS1"
"158","ENSG00000159363",-1.55181838237943,5.06486965405619e-121,"ATP13A2","ENSG00000226526",-1.56368747999342,3.80841293232555e-28,"AL049569.1"
"159","ENSG00000159399",-1.90452156808009,4.48359450762812e-45,"HK2","ENSG00000272711",-1.57475326621315,4.93932940456421e-17,"AC019069.1"
"160","ENSG00000160013",-1.59672457719322,0.000144772396208892,"PTGIR","ENSG00000269292",-1.23098226971552,2.70982136251891e-66,"AC093503.2"
"161","ENSG00000160223",2.47137740587466,1.13563984902772e-37,"ICOSLG","ENSG00000232010",7.05842164634717,9.56405711314932e-08,"DNMT3L-AS1"
"162","ENSG00000160284",-1.03363461736557,2.54206822005303e-13,"SPATC1L","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1"
"163","ENSG00000160285",-2.18116319366577,2.7097675601346e-77,"LSS","ENSG00000228404",-1.62940825786681,5.70677816534471e-07,"AP001468.1"
"164","ENSG00000160469",1.32062400237847,3.38253736071513e-30,"BRSK1","ENSG00000268729",1.38713290877028,0.000133007387678246,"AC020922.2"
"165","ENSG00000160472",2.62998253229,1.81082648247143e-05,"TMEM190","ENSG00000269275",2.35193787642149,0.000548976841326088,"AC020922.3"
"166","ENSG00000161544",-1.07010875091323,1.09171946135713e-62,"CYGB","ENSG00000267546",2.46454944774197,7.45797768558298e-32,"AC015802.4"
"167","ENSG00000161638",-1.37487052038709,4.74089227336392e-54,"ITGA5","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1"
"168","ENSG00000161642",2.18034429532047,4.57564704699025e-154,"ZNF385A","ENSG00000258086",-1.11287906662176,3.30059184162554e-06,"AC079313.1"
"169","ENSG00000161920",-1.41088842449367,1.61809832020811e-27,"MED11","ENSG00000261898",-1.33880171793754,4.08804816777396e-12,"AC091153.4"
"170","ENSG00000162086",1.35557765704005,2.99096729159882e-31,"ZNF75A","ENSG00000262899",1.17710787959544,8.63139668015619e-05,"AC004232.1"
"171","ENSG00000162241",3.27479123838775,2.05222728795401e-34,"SLC25A45","ENSG00000255478",2.6068285198975,5.29731548067682e-06,"AP000944.1"
"172","ENSG00000162461",1.76833810567287,0.00178965387809444,"SLC25A34","ENSG00000224459",-1.19085647548779,3.13152650161284e-06,"SLC25A34-AS1"
"173","ENSG00000162496",3.53296347836365,9.18517351808415e-110,"DHRS3","ENSG00000272482",5.30124433952936,9.608985947786e-09,"AC254633.1"
"174","ENSG00000162572",2.60368457593683,1.61547619018016e-59,"SCNN1D","ENSG00000230415",1.72592286522114,3.15847188103971e-05,"LINC01786"
"175","ENSG00000163435",1.1217822906636,7.73544780456349e-07,"ELF3","ENSG00000249007",1.29320022924672,2.90426610825878e-06,"AL691482.4"
"176","ENSG00000163513",-1.9804302317859,1.0757163747991e-73,"TGFBR2","ENSG00000261468",-2.93325522189096,3.58146795012653e-35,"AC096921.2"
"177","ENSG00000163637",1.88905800460178,5.99916832759258e-18,"PRICKLE2","ENSG00000241111",1.63735207931312,6.83244342830761e-22,"AC092040.2"
"178","ENSG00000163637",1.88905800460178,5.99916832759258e-18,"PRICKLE2","ENSG00000226017",2.6761860092494,7.89066072454615e-07,"PRICKLE2-AS3"
"179","ENSG00000163993",3.24985563556955,1.33958491967367e-16,"S100P","ENSG00000246526",2.82394639470883,0.00482198810873203,"LINC002481"
"180","ENSG00000164002",1.23173221720321,7.60876764529693e-58,"EXO5","ENSG00000238186",1.22153457354903,1.54909141684029e-13,"AL603839.2"
"181","ENSG00000164002",1.23173221720321,7.60876764529693e-58,"EXO5","ENSG00000227278",1.29554771910425,7.50885766587082e-33,"AL603839.1"
"182","ENSG00000164070",1.8356929818156,4.49640033603943e-115,"HSPA4L","ENSG00000261668",1.91897726204986,8.90216878994655e-26,"AC093591.2"
"183","ENSG00000164078",-1.16413828118801,2.3899736410702e-42,"MST1R","ENSG00000230698",-1.16900110090874,4.4341232740796e-05,"AC105935.2"
