"","mRNA_id","mRNA_log2FC_OH","mRNA_padj_OH","mRNA_GeneSymbol","lncRNA_id","lncRNA_log2FC_OH","lncRNA_padj_OH","lncRNA_GeneSymbol"
"251","ENSG00000183597",1.27625663836428,4.75587781557157e-34,"TANGO2","ENSG00000268292",1.44786625417194,3.86489184801207e-34,"AC006547.3"
"252","ENSG00000183770",3.76322958436872,6.27031299425267e-10,"FOXL2","ENSG00000244578",4.58897649420252,0.00245949594743527,"LINC01391"
"253","ENSG00000183828",1.48817809607757,5.56934562521106e-33,"NUDT14","ENSG00000257622",1.86905696819136,4.69622375976352e-43,"AL512356.1"
"254","ENSG00000184207",-1.43067824174432,2.61764489301961e-51,"PGP","ENSG00000261532",-1.08008610223914,7.27190238398184e-16,"AC009065.8"
"255","ENSG00000184916",1.93356753021977,1.01524367775729e-166,"JAG2","ENSG00000257622",1.86905696819136,4.69622375976352e-43,"AL512356.1"
"256","ENSG00000186193",-1.76107195104995,4.09512944616338e-34,"SAPCD2","ENSG00000231864",-1.90094823286156,2.8376264671892e-42,"AL807752.3"
"257","ENSG00000186480",-3.00680799076698,0,"INSIG1","ENSG00000273117",-1.10991695227116,2.61276444075877e-05,"AC144652.1"
"258","ENSG00000186635",1.01896934092791,4.42700747892264e-52,"ARAP1","ENSG00000256007",1.19970845374512,6.93968467219392e-26,"ARAP1-AS1"
"259","ENSG00000186642",2.98943513178123,1.78051998848186e-30,"PDE2A","ENSG00000256633",2.45096608728337,9.31801867831118e-07,"AP005019.1"
"260","ENSG00000187186",1.18134824144015,0.000161486753608032,"RP11-195F19.5","ENSG00000261215",1.62589373134507,4.46692814283998e-14,"AL162231.4"
"261","ENSG00000187193",-1.26081117920896,2.20098823778863e-21,"MT1X","ENSG00000259827",-1.14584149336935,2.93605931537326e-13,"AC026461.1"
"262","ENSG00000187479",5.24129747302636,7.89210330718099e-33,"C11orf96","ENSG00000244953",6.44964506676253,9.46576967083108e-07,"AC087521.1"
"263","ENSG00000187608",1.20625084024511,2.1930676869498e-24,"ISG15","ENSG00000224969",2.28908893041482,0.00383508712499456,"AL645608.1"
"264","ENSG00000188089",4.08253798109243,6.43145814925401e-05,"PLA2G4E","ENSG00000246740",3.14348513904647,0.00154472207756254,"PLA2G4E-AS1"
"265","ENSG00000188100",4.18109992543358,0.00786621854251994,"FAM25A","ENSG00000272508",4.46338105380886,0.0026754651388426,"AL136982.6"
"266","ENSG00000188211",1.44277408341092,1.4305337718748e-09,"NCR3LG1","ENSG00000260196",1.55697900770216,5.74834792074678e-38,"AC124798.1"
"267","ENSG00000188760",1.50668751821686,3.26715877259563e-09,"TMEM198","ENSG00000268896",2.80447014184963,3.34323679787207e-05,"AC009955.3"
"268","ENSG00000196110",1.52995771345311,4.94569119738143e-24,"ZNF699","ENSG00000267510",1.85942516790169,1.51371711347281e-17,"AC011451.1"
"269","ENSG00000196337",4.30455205027828,3.06503982986296e-19,"CGB7","ENSG00000268108",2.17486902960094,4.75442199182817e-06,"AC008687.2"
"270","ENSG00000196562",2.72695016132566,4.62429750114956e-152,"SULF2","ENSG00000255438",2.46483896885342,1.60619737941526e-33,"AL354813.1"
"271","ENSG00000197050",1.00503173342763,2.76578912729376e-24,"ZNF420","ENSG00000267345",1.68124524460707,2.51275642602008e-05,"AC010632.1"
"272","ENSG00000197063",1.12753550511398,4.95100975844104e-44,"MAFG","ENSG00000264769",1.15166745833819,1.63677138715404e-21,"AC145207.8"
"273","ENSG00000197181",3.30539145006848,9.92631579867854e-05,"PIWIL2","ENSG00000254064",-1.47385246008067,0.000534111903905126,"AC105206.2"
"274","ENSG00000197182",-1.17610964701207,8.16133137383678e-14,"FLJ27365","ENSG00000235159",1.42479116112769,0.00719537686147678,"AL121672.2"
"275","ENSG00000198668",-1.28292625226965,1.45814359988519e-59,"CALM1","ENSG00000258424",-1.35532863220898,9.47270630283432e-32,"AL512791.1"
"276","ENSG00000198780",1.04046817961923,1.0170631523801e-17,"FAM169A","ENSG00000271714",1.92415590932301,1.15477816148558e-06,"AC010501.2"
"277","ENSG00000198814",2.49137650728842,3.35280399563111e-95,"GK","ENSG00000241886",3.15855090374808,5.62152806582665e-11,"AC112496.1"
"278","ENSG00000198814",2.49137650728842,3.35280399563111e-95,"GK","ENSG00000229331",4.09479534566647,0.00883643023563524,"GK-IT1"
"279","ENSG00000198814",2.49137650728842,3.35280399563111e-95,"GK","ENSG00000243055",2.47176484039802,4.72297526468073e-29,"GK-AS1"
"280","ENSG00000205476",-1.2700815597999,1.06488374710556e-18,"CCDC85C","ENSG00000258749",-1.31242154786795,1.4153807176608e-32,"AL110504.1"
"281","ENSG00000205838",2.38521719243351,0.0007304387775245,"TTC23L","ENSG00000272323",1.10311516124646,0.00870831402646455,"AC026801.2"
"282","ENSG00000205853",2.85497608084766,0.000185295068592743,"RFPL3S","ENSG00000230736",2.27164708793644,7.5527108054218e-06,"AL021937.1"
"283","ENSG00000206075",1.30711389166253,1.36348521217188e-85,"SERPINB5","ENSG00000269989",3.84011796326117,2.63607766883591e-05,"AC036176.3"
"284","ENSG00000206203",1.16340651841397,5.75360115399136e-06,"TSSK2","ENSG00000272682",2.65352383355906,0.00432069289493249,"AC004471.2"
"285","ENSG00000212734",2.69470783908794,4.12305380483666e-34,"C17orf100","ENSG00000261996",4.2379677316782,1.06122231260513e-52,"AC004706.1"
"286","ENSG00000213123",1.00833790461492,2.21551643623222e-06,"TCTEX1D2","ENSG00000235897",-1.48778797184887,6.50743162445367e-18,"TM4SF19-AS1"
"287","ENSG00000213213",1.28595153409499,0.00023813102645262,"CCDC183","ENSG00000228544",1.29178349631231,0.000845522758762074,"CCDC183-AS1"
"288","ENSG00000213859",1.81092361748647,1.48333810695419e-36,"KCTD11","ENSG00000263171",1.97798514750711,7.55674918459513e-39,"AC026954.3"
"289","ENSG00000213927",3.27604431185873,3.18615390101031e-06,"CCL27","ENSG00000261215",1.62589373134507,4.46692814283998e-14,"AL162231.4"
"290","ENSG00000214357",1.37201578743687,4.50294577338589e-07,"NEURL1B","ENSG00000253445",1.53110007011898,4.07588289624435e-09,"AC027309.1"
"291","ENSG00000225950",1.36075853588453,4.30045414139511e-12,"NTF4","ENSG00000268108",2.17486902960094,4.75442199182817e-06,"AC008687.2"
"292","ENSG00000225950",1.36075853588453,4.30045414139511e-12,"NTF4","ENSG00000268287",1.41290000950762,0.00905938089198894,"AC008687.3"
"293","ENSG00000235878",-1.92587928513046,2.54774886792498e-11,"AP001468.1","ENSG00000228404",-1.69736062778359,1.30016630709903e-06,"AP001468.1"
"294","ENSG00000237515",-1.07252441625977,1.12144882427939e-08,"SHISA9","ENSG00000262116",-2.06451233862253,0.000133110838612057,"AC009134.1"
"295","ENSG00000239665",1.23036077408032,0.000357100106869084,"RP11-295P9.3","ENSG00000273474",3.04034571116623,0.00455731922131903,"AL157392.4"
"296","ENSG00000245848",2.1499936623509,2.0129639853944e-08,"CEBPA","ENSG00000267727",1.96753349481252,6.06568607806253e-05,"AC008738.5"
"297","ENSG00000245848",2.1499936623509,2.0129639853944e-08,"CEBPA","ENSG00000267580",2.29171948124054,1.62408176610367e-14,"AC008738.3"
"298","ENSG00000255181",4.29450702420095,0.0034455781932061,"CCDC166","ENSG00000254574",4.52410873604171,0.00830295900693242,"AC105219.3"
"299","ENSG00000255398",2.00082296673599,1.15543664407416e-19,"HCAR3","ENSG00000256249",1.81411809629461,1.38034638402867e-18,"AC026333.3"
"300","ENSG00000258839",1.88753149176118,0.00163485385280226,"MC1R","ENSG00000259006",1.21560351804105,1.00599775675011e-10,"AC092143.2"
"301","ENSG00000268885",1.2034818014159,2.59290169627837e-09,"AC026740.1","ENSG00000271781",2.79205756573302,1.12723122428178e-15,"AC026740.1"
