"","Geneid","log2FC_CvsO3","padj_CvsO3","GeneSymbol","biotype"
"102","ENSG00000261468",-2.93325522189096,3.58146795012653e-35,"AC096921.2","lncRNA"
"103","ENSG00000261532",-1.09004397147098,2.97533907771093e-18,"AC009065.8","lncRNA"
"104","ENSG00000261534",-1.50617810836082,7.39277987868952e-14,"AL596244.1","lncRNA"
"105","ENSG00000261604",-2.45957933445361,6.63468319289484e-89,"AC114947.2","lncRNA"
"106","ENSG00000261898",-1.33880171793754,4.08804816777396e-12,"AC091153.4","lncRNA"
"107","ENSG00000262413",-1.42295874663347,3.85796869905728e-103,"AC145207.2","lncRNA"
"108","ENSG00000262624",-1.66871972513178,1.00491325826877e-07,"AC113189.1","lncRNA"
"109","ENSG00000263873",-1.61170924137288,3.04932201005208e-113,"AP003396.5","lncRNA"
"110","ENSG00000264044",-1.07990220189941,2.19842640763179e-10,"AC005726.2","lncRNA"
"111","ENSG00000264301",-2.62211229120411,0.000701566436034568,"LINC01444","lncRNA"
"112","ENSG00000264443",-1.04773678972896,4.36033829020362e-09,"NCMAP-DT","lncRNA"
"113","ENSG00000264785",-1.26260814025041,0.000141427053877773,"AC005722.4","lncRNA"
"114","ENSG00000265168",-1.6732163063419,2.2756851629134e-55,"AC005726.3","lncRNA"
"115","ENSG00000265194",-1.20434279210505,2.01713802855609e-29,"AL359922.2","lncRNA"
"116","ENSG00000265415",-2.23658171756675,6.86669573679858e-123,"AC099850.4","lncRNA"
"117","ENSG00000265579",-1.72139345416438,6.4087771330889e-14,"AC023301.1","lncRNA"
"118","ENSG00000265784",-1.03531554094083,2.5541016343176e-44,"AC006441.3","lncRNA"
"119","ENSG00000266651",-1.04605750771357,0.00161035759918809,"AC093484.4","lncRNA"
"120","ENSG00000267141",-2.98810197241996,0.0129276522817815,"AC012615.4","lncRNA"
"121","ENSG00000267396",-1.22570517860704,4.56584111009981e-25,"AC090236.1","lncRNA"
"122","ENSG00000267484",-1.18385552929097,1.15663242940798e-21,"AC027319.1","lncRNA"
"123","ENSG00000268015",-1.15522799310843,1.79060233988948e-21,"AC010320.3","lncRNA"
"124","ENSG00000268191",-2.19392978170883,0.00693688854062035,"AC010503.2","lncRNA"
"125","ENSG00000268262",-1.80746884718179,2.8920775530111e-07,"AC011445.1","lncRNA"
"126","ENSG00000268938",-1.43065906510384,0.0494016699922409,"AC005387.1","lncRNA"
"127","ENSG00000269292",-1.23098226971552,2.70982136251891e-66,"AC093503.2","lncRNA"
"128","ENSG00000269899",-2.03654594771135,3.76727690304524e-08,"AC025857.2","lncRNA"
"129","ENSG00000269926",-1.62397452765142,9.60159962517463e-85,"DDIT4-AS1","lncRNA"
"130","ENSG00000269927",-2.00759126739761,0.00020447295177947,"AC004817.3","lncRNA"
"131","ENSG00000269968",-1.35061421834403,7.56922144497587e-57,"AC006064.4","lncRNA"
"132","ENSG00000270069",-1.15648313305061,4.83392618334938e-10,"MIR222HG","lncRNA"
"133","ENSG00000270104",-4.61931041730911,0.0125450283570982,"AL670729.2","lncRNA"
"134","ENSG00000270135",-1.01677052863433,0.0372511332811633,"AC078795.3","lncRNA"
"135","ENSG00000270277",-1.45551430666077,0.00493961156502374,"AC009948.2","lncRNA"
"136","ENSG00000270362",-1.02042944776011,1.10587957111453e-05,"HMGN3-AS1","lncRNA"
"137","ENSG00000271795",-1.61247188613189,4.95434549743653e-08,"AC011337.1","lncRNA"
"138","ENSG00000271815",-1.81343586798465,0.00912203021051508,"AC008897.3","lncRNA"
"139","ENSG00000271868",-1.52439736826027,0.0429453765944621,"AC114810.1","lncRNA"
"140","ENSG00000271980",-1.04379608287744,1.16266530354939e-16,"AC012640.6","lncRNA"
"141","ENSG00000272121",-1.29846471333296,6.11938727477309e-07,"AC006058.3","lncRNA"
"142","ENSG00000272129",-1.26474979176747,0.0012320104688609,"AL359715.3","lncRNA"
"143","ENSG00000272159",-1.57758956207602,4.55236222395102e-32,"AC087623.3","lncRNA"
"144","ENSG00000272182",-1.4122386588619,8.74297974944074e-25,"AC135507.1","lncRNA"
"145","ENSG00000272189",-1.20141816299338,0.0433661148052507,"AL024508.1","lncRNA"
"146","ENSG00000272263",-1.39149099680556,0.0308066008766153,"AC034198.2","lncRNA"
"147","ENSG00000272416",-2.1372434533732,0.0382858355646762,"AC025175.1","lncRNA"
"148","ENSG00000272468",-2.50242676012052,0.0350848077516213,"AL021807.1","lncRNA"
"149","ENSG00000272576",-1.33391626013622,0.0154421557169773,"AC027271.1","lncRNA"
"150","ENSG00000272711",-1.57475326621315,4.93932940456421e-17,"AC019069.1","lncRNA"
"151","ENSG00000272716",-1.11450018415003,0.029318651768836,"AL121658.1","lncRNA"
"152","ENSG00000272764",-1.43845400823621,0.00873182139014418,"AL596094.1","lncRNA"
"153","ENSG00000272777",-1.16534202788635,0.00236629479537944,"AC019131.2","lncRNA"
"154","ENSG00000272787",-1.36470232567918,0.00608343793752289,"AC253536.6","lncRNA"
"155","ENSG00000272825",-1.98330439259735,2.35408468008384e-05,"AL844908.1","lncRNA"
"156","ENSG00000272853",-1.5642067389584,2.75024818186333e-06,"AC069544.1","lncRNA"
"157","ENSG00000272931",-1.58491844203105,0.000161095461702235,"AC099568.2","lncRNA"
"158","ENSG00000272977",-1.27206907591457,1.89633029773582e-08,"AL008721.2","lncRNA"
"159","ENSG00000273055",-1.03897493086158,0.000341543941278144,"AC005046.2","lncRNA"
"160","ENSG00000273186",-1.03666761223098,0.0413949939210814,"AL359091.4","lncRNA"
"161","ENSG00000273243",-1.52019711286641,0.0240929360378609,"Z82243.1","lncRNA"
"162","ENSG00000273361",-1.40772231171585,0.000255041641709897,"AC021016.3","lncRNA"
